generations:200,popsPerGen:10000,childrenPercentage:50,mutationRate:2.000000,strategyLength:15,SimulationsRun:6
gen_num,avg_fit,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14
170,0.588716,0.982900,0.983100,0.967400,0.974700,0.078900,0.954700,0.093900,0.959200,0.108200,0.969600,0.093700,0.970500,0.098600,0.972300,0.987500
180,0.588586,0.983200,0.984000,0.972900,0.973000,0.078100,0.954100,0.084200,0.962000,0.102000,0.960500,0.092200,0.975600,0.089800,0.975800,0.990800
190,0.589073,0.984900,0.982100,0.972800,0.971200,0.079500,0.961800,0.094500,0.960700,0.090100,0.964400,0.097100,0.974500,0.102500,0.974900,0.989300
Comparison: Pure SHC,0.477033

1
0,0.165208,0.493200,0.496900,0.508700,0.497600,0.496200,0.514300,0.496100,0.499200,0.498100,0.508200,0.499000,0.501700,0.502300,0.504300,0.504300
10,0.337547,0.252600,0.563900,0.458100,0.453200,0.482700,0.509600,0.506200,0.558600,0.553400,0.598500,0.640900,0.661400,0.710100,0.742400,0.990100
20,0.342241,0.185100,0.574100,0.416500,0.422500,0.481200,0.464900,0.532500,0.539700,0.557900,0.584500,0.675700,0.685400,0.706000,0.782900,0.987600
30,0.341836,0.217200,0.620600,0.389100,0.379300,0.476600,0.450100,0.517700,0.555000,0.566100,0.558100,0.701000,0.688700,0.702600,0.810700,0.988400
40,0.343452,0.233000,0.631000,0.356400,0.367000,0.459000,0.418800,0.502400,0.536600,0.546900,0.564000,0.702600,0.666800,0.698100,0.849200,0.988700
50,0.345416,0.248400,0.624800,0.359100,0.368600,0.459200,0.400100,0.533700,0.501600,0.565700,0.560100,0.679800,0.692800,0.676500,0.854700,0.990100
60,0.342159,0.253400,0.620500,0.342200,0.363700,0.432900,0.413300,0.543200,0.527000,0.578900,0.564900,0.668400,0.692500,0.662800,0.852600,0.989800
70,0.341575,0.245400,0.634000,0.354600,0.342900,0.421500,0.418900,0.569000,0.525100,0.605000,0.582800,0.643000,0.706100,0.644000,0.862400,0.987400
80,0.343448,0.271500,0.655200,0.313300,0.330800,0.416700,0.406900,0.582200,0.501000,0.581500,0.571200,0.652500,0.712900,0.598900,0.879800,0.989400
90,0.349691,0.295200,0.710500,0.312600,0.290400,0.436500,0.431100,0.593300,0.503000,0.594100,0.559700,0.666700,0.715600,0.563300,0.887300,0.987900
100,0.347881,0.288000,0.690100,0.298000,0.311100,0.446700,0.416700,0.615000,0.495900,0.602500,0.565300,0.665400,0.708600,0.550900,0.893000,0.989300
110,0.352009,0.339400,0.700800,0.277300,0.296900,0.473800,0.420900,0.588200,0.503300,0.573500,0.576100,0.668500,0.706100,0.559800,0.904700,0.988200
120,0.347186,0.364100,0.709400,0.282100,0.292400,0.487600,0.432200,0.580500,0.485800,0.585300,0.565700,0.653600,0.721100,0.527000,0.914000,0.989000
130,0.349715,0.383400,0.705300,0.261400,0.262300,0.480800,0.412700,0.596100,0.460000,0.591800,0.531500,0.666300,0.731900,0.512100,0.921600,0.988400
140,0.353540,0.430800,0.724200,0.243400,0.241500,0.494400,0.403500,0.597600,0.471000,0.589500,0.584200,0.653300,0.738000,0.494900,0.930900,0.987900
150,0.356152,0.459200,0.754100,0.223800,0.254400,0.517100,0.373300,0.608000,0.433200,0.624600,0.570000,0.656400,0.742700,0.520000,0.915400,0.989200
160,0.353903,0.482500,0.769800,0.212800,0.218100,0.509400,0.354100,0.616700,0.407700,0.657700,0.557400,0.660400,0.747300,0.518200,0.909500,0.990000
170,0.352239,0.498800,0.787900,0.172500,0.202500,0.539800,0.374200,0.625100,0.401400,0.664600,0.505800,0.668200,0.756800,0.501600,0.912800,0.988400
180,0.358570,0.589900,0.829100,0.160700,0.191200,0.509600,0.343400,0.641800,0.396000,0.654000,0.549100,0.645600,0.749900,0.520500,0.906600,0.989800
190,0.359977,0.628000,0.830600,0.158000,0.222200,0.509000,0.321200,0.650000,0.395700,0.664600,0.547700,0.656300,0.759500,0.465200,0.899800,0.988800
Comparison: Pure SHC,0.167432

2
0,0.173437,0.503500,0.510600,0.486600,0.493200,0.507100,0.503300,0.502200,0.509500,0.508600,0.497500,0.500100,0.497200,0.487100,0.501800,0.500700
10,0.392698,0.296600,0.598700,0.455700,0.604600,0.521400,0.595100,0.572200,0.612900,0.600700,0.649200,0.640300,0.694100,0.700900,0.789000,0.990500
20,0.403318,0.157100,0.765700,0.338400,0.720500,0.508000,0.705600,0.568600,0.654000,0.619700,0.683700,0.623800,0.747000,0.658000,0.793500,0.989600
30,0.406533,0.125800,0.863800,0.275500,0.792100,0.436700,0.747000,0.558200,0.702100,0.554300,0.740600,0.582300,0.778100,0.594400,0.793200,0.989300
40,0.405878,0.132200,0.896200,0.215700,0.800000,0.428500,0.781400,0.482300,0.748000,0.509800,0.772000,0.539400,0.800200,0.554400,0.800300,0.988100
50,0.411699,0.149000,0.906000,0.167300,0.845500,0.391100,0.805600,0.470800,0.773200,0.513200,0.783900,0.501700,0.828300,0.499800,0.842000,0.991000
60,0.413714,0.136100,0.905700,0.170700,0.869700,0.370400,0.825700,0.423700,0.805800,0.471900,0.798900,0.456300,0.871500,0.419800,0.876000,0.990100
70,0.413311,0.131500,0.899400,0.170300,0.867700,0.352700,0.858100,0.422200,0.823200,0.445500,0.830800,0.420500,0.886800,0.403100,0.892000,0.990600
80,0.413720,0.144200,0.892000,0.136400,0.870800,0.344600,0.860300,0.405900,0.853000,0.409800,0.853500,0.390400,0.903100,0.386500,0.905000,0.991000
90,0.410924,0.171400,0.903600,0.146800,0.881900,0.340300,0.853100,0.393000,0.872100,0.368200,0.884100,0.377100,0.924900,0.332900,0.914300,0.989900
100,0.414037,0.176400,0.901400,0.150400,0.889000,0.348400,0.858900,0.386700,0.876100,0.330700,0.910200,0.333200,0.930500,0.274700,0.925700,0.989100
110,0.409492,0.169100,0.904400,0.162400,0.891800,0.360700,0.854900,0.398500,0.871500,0.310800,0.926800,0.304500,0.930600,0.249100,0.935600,0.989700
120,0.416907,0.188000,0.905400,0.143200,0.888300,0.399200,0.873600,0.367100,0.896700,0.295600,0.938400,0.268300,0.946100,0.205600,0.961700,0.990100
130,0.411541,0.208200,0.900100,0.159600,0.872000,0.417500,0.863900,0.355200,0.898900,0.288400,0.946200,0.240200,0.945100,0.213700,0.960400,0.989800
140,0.412086,0.190700,0.892000,0.158000,0.879400,0.425800,0.868500,0.350500,0.921400,0.271500,0.952100,0.232000,0.953800,0.211300,0.968400,0.990100
150,0.413042,0.202000,0.889500,0.173800,0.857900,0.451600,0.866500,0.354400,0.916700,0.259200,0.949300,0.247700,0.956600,0.207300,0.964200,0.989100
160,0.414652,0.202300,0.900300,0.153200,0.853000,0.442700,0.876700,0.347100,0.921800,0.263200,0.948400,0.245300,0.953000,0.219900,0.957600,0.988800
170,0.413043,0.194200,0.908900,0.152800,0.873900,0.426000,0.873100,0.345000,0.919500,0.246500,0.950500,0.214200,0.962200,0.207600,0.960200,0.988800
180,0.412075,0.188600,0.908400,0.171800,0.867200,0.431000,0.867200,0.357300,0.929600,0.233800,0.948800,0.218400,0.958500,0.192700,0.963800,0.988800
190,0.413351,0.194200,0.897200,0.185200,0.883600,0.468100,0.888800,0.330100,0.922200,0.240000,0.945900,0.228400,0.966600,0.165500,0.971000,0.989500
Comparison: Pure SHC,0.197514

3
0,0.128216,0.503900,0.500400,0.490700,0.494600,0.497100,0.492600,0.494100,0.506600,0.502400,0.493700,0.509000,0.500700,0.498100,0.497800,0.500400
10,0.301432,0.233100,0.534500,0.529500,0.539500,0.576000,0.558000,0.577500,0.619400,0.588000,0.632700,0.678500,0.697700,0.717400,0.749800,0.988600
